OBJECTID,CODI_ENS,NOM_ENS,EQUIPAMENT,DISTRICTE,TITULARITAT,ZONACOBERTURA,WEB,X,Y,LAT,LON,EXTRACCIO
6817,08200,SANT BOI DE LLOBREGAT,Schneider Electric (planta 0),04,PRIVADA,DINS EQUIPAMENT,https://www.se.com/es/es/work/services/professional-services/logistica/servicios_logisticos_new.jsp,419600.5328,4575049.3502,41.3229111,2.03932096,2024/04/22 13:28:08+00
6818,08200,SANT BOI DE LLOBREGAT,La Gralla,06,MUNICIPAL,DINS EQUIPAMENT,https://sites.google.com/view/directoridequipamentsb/casals-de-barri/la-gralla,419492.0449,4576206.4405,41.33332155,2.03787152,2024/04/22 13:28:08+00
6819,08200,SANT BOI DE LLOBREGAT,Edifici Milà Gelabert,05,MUNICIPAL,DINS EQUIPAMENT,https://www.avpcsb.org/,418889.8818,4576917.6283,41.33966643,2.03058125,2024/04/22 13:28:08+00
6820,08200,SANT BOI DE LLOBREGAT,Casal L'Olivera,02,MUNICIPAL,DINS EQUIPAMENT,https://sites.google.com/view/directoridequipamentsb/serveis-socials#h.exwxh1ueinxr,418793.9935,4578219.1426,41.35137873,2.02926127,2024/04/22 13:28:08+00
6821,08200,SANT BOI DE LLOBREGAT,Casal de Marianao - El Casino,02,MUNICIPAL,DINS EQUIPAMENT,https://sites.google.com/view/directoridequipamentsb/casals-de-barri/casal-marianao,418996.61,4577604.1572,41.34586033,2.03176509,2024/04/22 13:28:08+00
6822,08200,SANT BOI DE LLOBREGAT,Can Massallera,04,MUNICIPAL,DINS EQUIPAMENT,https://sites.google.com/view/directoridequipamentsb/casals-de-barri/can-massallera,419896.0962,4577152.1493,41.34187929,2.04257485,2024/04/22 13:28:08+00
6823,08200,SANT BOI DE LLOBREGAT,Cal Ninyo,03,MUNICIPAL,DINS EQUIPAMENT,https://sites.google.com/view/directoridequipamentsb/casals-de-barri/cal-ninyo,419830.3522,4577675.731,41.34658836,2.04172002,2024/04/22 13:28:08+00
6824,08200,SANT BOI DE LLOBREGAT,Casal Casablanca,06,MUNICIPAL,DINS EQUIPAMENT,https://sites.google.com/view/directoridequipamentsb/casals-de-barri/casal-casablanca,419724.5304,4576107.1474,41.33245046,2.04066264,2024/04/22 13:28:08+00
6825,08200,SANT BOI DE LLOBREGAT,Casal Camps Blancs,05,MUNICIPAL,DINS EQUIPAMENT,https://sites.google.com/view/directoridequipamentsb/casals-de-barri/casal-camps-blancs,419186.7517,4576541.4233,41.33630799,2.03417898,2024/04/22 13:28:08+00
6826,08200,SANT BOI DE LLOBREGAT,Casal Ciutat Cooperativa - Molí Nou,01,MUNICIPAL,DINS EQUIPAMENT,https://sites.google.com/view/directoridequipamentsb/casals-de-barri/ciutat-cooperativa-mol%C3%AD-nou,418845.3236,4578836.907,41.35694773,2.02979216,2024/04/22 13:28:08+00
6827,08200,SANT BOI DE LLOBREGAT,Casa de la Vila,03,MUNICIPAL,ESPAI OBERT,www.santboi.cat,419952.7464,4577775.6083,41.34750007,2.04316966,2024/04/22 13:28:08+00
6828,08200,SANT BOI DE LLOBREGAT,Ermita Sant Ramon,02,MUNICIPAL,ESPAI OBERT,https://www.santboi.cat/ImpASIA.nsf/ca-WebEquipament-BASE?ReadForm&Clau=Equipament06&Idioma=ca&IdTE=TE04&IdEquip=99400318694&Seu=N,417245.4471,4576732.8149,41.33783472,2.01095512,2024/04/22 13:28:08+00
